stuid,projectname,t1,t2,t3,t4,t5
1083712,javascript實作簡易版計算機,283,57,87,45,19
1100403,javascript實作簡易版計算機,20,24,4,4,17
1100440,javascript實作簡易版計算機,5,0,0,3,1
1100432,javascript實作簡易版計算機,8,4,4,14,21
1100302,javascript實作簡易版計算機,364,258,434,266,66
1100321,javascript實作簡易版計算機,237,120,218,84,124
1090344,javascript實作簡易版計算機,8,9,40,10,12
1070441,javascript實作簡易版計算機,3,3,21,0,3
1090714,javascript實作簡易版計算機,155,109,222,0,91
1100330,javascript實作簡易版計算機,16,30,0,14,8
1090311,javascript實作簡易版計算機,119,179,47,120,51
1100406,javascript實作簡易版計算機,2,3,2,1,0
1090302,javascript實作簡易版計算機,20,15,4,15,6
1100405,javascript實作簡易版計算機,36,37,5,0,9
1090403,javascript實作簡易版計算機,60,12,171,80,9
1090335,javascript實作簡易版計算機,24,12,9,2,56
1100415,javascript實作簡易版計算機,162,69,16,117,34
1090425,javascript實作簡易版計算機,10,15,25,28,26
test4,javascript實作簡易版計算機,142,24,11,8,27
1083714,javascript實作簡易版計算機,52,9,54,23,34
s1090337,javascript實作簡易版計算機,16,113,34,86,0
1090319,javascript實作簡易版計算機,0,0,0,0,0
1090311,jquery 圈圈叉叉,400,345,86,107,67
1100407,jquery 圈圈叉叉,269,429,623,347,62
1100405,jquery 圈圈叉叉,350,127,154,233,38
1100406,jquery 圈圈叉叉,55,0,21,6,10
1083714,jquery 圈圈叉叉,90,72,5,0,1
1090434,jquery 圈圈叉叉,1,0,0,3,1
1100321,jquery 圈圈叉叉,131,643,323,176,34
1100302,jquery 圈圈叉叉,1315,864,633,259,152
1090335,jquery 圈圈叉叉,860,1156,414,167,40
1100432,jquery 圈圈叉叉,151,68,7,28,7
1070441,jquery 圈圈叉叉,156,33,39,0,3
1090319,jquery 圈圈叉叉,1,0,0,0,1
s1090337,jquery 圈圈叉叉,57,140,120,70,0
1083712,jquery 圈圈叉叉,648,205,835,171,39
1090344,jquery 圈圈叉叉,24,56,71,0,38
1100415,jquery 圈圈叉叉,225,45,405,681,203
1090425,jquery 圈圈叉叉,269,203,331,158,56
1100403,jquery 圈圈叉叉,141,17,44,24,44
1100849,jquery 圈圈叉叉,75,154,89,77,30
1100440,jquery 圈圈叉叉,9,0,13,9,24
1090403,jquery 圈圈叉叉,191,201,150,17,75
s1100333,jquery 圈圈叉叉,122,33,6,0,4
1090714,jquery 圈圈叉叉,370,428,251,225,173
1100332,jquery 圈圈叉叉,5,0,0,0,1
