stuid,projectname,timestamp,t1_code,t2_code,t3_code,t4_code,t5_code,t1_note,t2_note,t3_note,t4_note,t5_note,t1_switch,t2_switch,t3_switch,t4_switch,t5_switch
1110335,009db916-2fd8-4297-81aa-723ef2d60a8a,323204,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0
1103744,072747c1-2db7-4912-aa7c-d2a3b85a5bb7,946848,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1100405,1da04dd0-c93b-42ad-945c-46761848def6,173555,6,0,6,0,0,1,5,3,0,0,2,1,3,0,0
1103749,34c07dde-0be8-4194-b0e5-1c31645a7397,3054372,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1
11111111,6d6d5cdf-571d-4d4a-8965-4b43f0d421e6,951305456,5,2,1,0,1,3,1,0,1,0,2,2,0,1,1
1110836,6df29825-4b49-4cfc-b7f3-3695eaf78cc7,1137310,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1
1110419,74455e13-44d2-4406-81b6-12b2e04f9ba6,1096968,11,11,22,1,54,11,11,22,0,55,1,2,4,1,9
1110442,75a1ba22-3dba-4f84-90e4-e4a4ce8bd3da,685438,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1110436,7669d860-be62-479b-80c1-e28d185d71cf,605848,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1110322,7c02b72f-8a0f-4d86-8c84-4a9b6583d39a,961410,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1
1110303,8a1a6743-456d-41f5-bfc3-b5b87581cb1b,2300102,2,1,0,1,1,1,0,1,0,0,2,0,1,1,0
1110417,8b9634b2-54dc-434c-b3b7-5fb78f99a145,958554,1,1,1,3,1,1,1,1,1,0,1,2,2,3,0
1100332,b5fe9b9a-d321-47d0-9b73-4c597b237c10,2828900,2,0,1,1,2,1,1,0,1,2,2,1,1,2,4
1100410,ba2eabde-4b17-429f-8701-776c3f7a3fd2,936357,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
1083712,c6cb48e4-0047-443f-bbe7-5e9b080c0832,992145,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1100415,c7a6618e-95aa-46eb-867d-e3ca984dd999,1008949,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1100302,e548eb82-144d-4dee-b968-9ff7fd3ba768,1208869,12,1,3,1,1,6,0,0,0,0,2,0,0,0,0
1070443,e9100cd9-9ddd-4bae-b42d-4bc526c90183,1172055,4,3,2,3,1,1,0,0,3,0,2,0,0,5,1
1090323,ff35b667-7f33-4de4-b8de-9ddc09e81116,505034,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0
1100330,00c9e529-8a03-4910-b77f-54c9e218dd93,838967,18,12,18,6,1,18,12,18,6,0,5,4,6,2,1
1100405,00de9451-946f-43b1-b80c-326bb6ddc481,520329,5,1,9,20,10,5,0,5,25,10,1,1,2,9,4
1100410,02f689a8-921e-4ad0-9490-99dc3cf99103,1237249,16,0,0,0,0,8,1,1,1,1,2,1,0,0,0
1110419,1b7edd3c-bf7f-4353-bf98-1673978ef899,737935,4,4,4,8,0,0,4,8,4,4,0,2,3,3,1
1100415,21fa5157-4008-479c-8c75-8fc2bb7871a3,1110760,20,1,1,6,12,15,0,0,8,8,6,0,0,3,5
1103744,271ed2ee-962a-45f1-9e52-416652cb44d0,587280,3,0,1,3,1,0,1,0,3,0,0,1,1,5,1
1110322,313e58da-6ab2-483e-be0d-6f0b825cb9e1,737383,9,3,0,0,0,9,0,1,1,1,5,1,1,0,0
1110335,31dc04ed-777d-478a-9f45-1a213327eeba,621922,3,1,6,19,5,3,1,4,10,5,5,2,9,8,2
1100302,37822288-6a7f-45b1-accd-edb5fd693899,902916,3,6,7,2,6,2,6,4,2,5,4,11,5,3,4
1103749,3db62c6b-d41b-4d98-a116-002300fb9d95,686166,3,3,8,6,4,3,3,4,6,2,5,6,5,4,2
1110436,4e051a7e-0214-4a76-a31a-b4c7c05d4fc1,675510,4,7,7,2,2,2,2,8,0,0,4,4,15,1,0
1110333,54ba9f48-eaac-4c9d-8144-654a255b5fb0,391815,3,1,1,1,0,2,0,0,0,1,3,1,0,0,1
1110442,85209d13-b70f-42f6-b249-fbfbce217ec7,591891,8,4,6,10,4,8,4,6,10,4,7,4,6,10,4
1090950,888a1f4e-4b5a-4f2c-95cf-c72a3eb82817,77983,4,2,0,0,0,4,0,0,0,0,3,1,0,0,0
1100407,8d726201-55d0-4357-a876-0da46d778b26,1149419,20,20,15,15,1,20,20,15,15,0,7,8,6,6,1
1100332,a473920e-7d49-47fe-b99a-16076e046be0,448209,2,1,1,1,0,2,1,1,0,1,3,2,2,1,1
1110441,c65120ac-b189-4fcb-8967-91c611c4a7ba,662051,2,1,0,1,0,1,0,1,0,0,2,0,1,1,0
1110303,cb12fa61-7f95-43cd-b544-c81ea3a3fa53,699132,4,1,3,0,1,4,0,0,4,0,1,1,0,1,1
1110836,cc0f22f8-6e5f-4144-8d9a-05746568c040,221886,17,1,0,0,0,16,0,0,0,0,12,0,0,0,0
11111111,d447e7b3-2ee5-4307-8c85-5ca830900789,18712550,2,1,1,0,0,2,0,0,1,1,3,1,0,1,0
1100330,00c9e529-8a03-4910-b77f-54c9e218dd93,838967,18,12,18,6,1,18,12,18,6,0,5,4,6,2,1
1100405,00de9451-946f-43b1-b80c-326bb6ddc481,520329,5,1,9,20,10,5,0,5,25,10,1,1,2,9,4
1100410,02f689a8-921e-4ad0-9490-99dc3cf99103,1237249,16,0,0,0,0,8,1,1,1,1,2,1,0,0,0
1110419,1b7edd3c-bf7f-4353-bf98-1673978ef899,737935,4,4,4,8,0,0,4,8,4,4,0,2,3,3,1
1100415,21fa5157-4008-479c-8c75-8fc2bb7871a3,1110760,20,1,1,6,12,15,0,0,8,8,6,0,0,3,5
1103744,271ed2ee-962a-45f1-9e52-416652cb44d0,587280,3,0,1,3,1,0,1,0,3,0,0,1,1,5,1
1110322,313e58da-6ab2-483e-be0d-6f0b825cb9e1,737383,9,3,0,0,0,9,0,1,1,1,5,1,1,0,0
1110335,31dc04ed-777d-478a-9f45-1a213327eeba,621922,3,1,6,19,5,3,1,4,10,5,5,2,9,8,2
1100302,37822288-6a7f-45b1-accd-edb5fd693899,902916,3,6,7,2,6,2,6,4,2,5,4,11,5,3,4
1103749,3db62c6b-d41b-4d98-a116-002300fb9d95,686166,3,3,8,6,4,3,3,4,6,2,5,6,5,4,2
1110436,4e051a7e-0214-4a76-a31a-b4c7c05d4fc1,675510,4,7,7,2,2,2,2,8,0,0,4,4,15,1,0
1110333,54ba9f48-eaac-4c9d-8144-654a255b5fb0,391815,3,1,1,1,0,2,0,0,0,1,3,1,0,0,1
1110442,85209d13-b70f-42f6-b249-fbfbce217ec7,591891,8,4,6,10,4,8,4,6,10,4,7,4,6,10,4
1090950,888a1f4e-4b5a-4f2c-95cf-c72a3eb82817,77983,4,2,0,0,0,4,0,0,0,0,3,1,0,0,0
1100407,8d726201-55d0-4357-a876-0da46d778b26,1149419,20,20,15,15,1,20,20,15,15,0,7,8,6,6,1
1100332,a473920e-7d49-47fe-b99a-16076e046be0,448209,2,1,1,1,0,2,1,1,0,1,3,2,2,1,1
1110441,c65120ac-b189-4fcb-8967-91c611c4a7ba,662051,2,1,0,1,0,1,0,1,0,0,2,0,1,1,0
1110303,cb12fa61-7f95-43cd-b544-c81ea3a3fa53,699132,4,1,3,0,1,4,0,0,4,0,1,1,0,1,1
1110836,cc0f22f8-6e5f-4144-8d9a-05746568c040,221886,17,1,0,0,0,16,0,0,0,0,12,0,0,0,0
11111111,d447e7b3-2ee5-4307-8c85-5ca830900789,18712550,2,1,1,0,0,2,0,0,1,1,3,1,0,1,0
